Accepted term,Synonym
trunk_crown_shape,trunk_crown_shape.1.shape
trunk_shape,trunk_shape.1.shape
twig_gland_shape,twig_gland_shape.1.shape
twig_hair_shape,twig_hair_shape.1.shape
twig_shape,twig_shape.1.shape
twig_shape,twig_shape.2.shape
twig_trichome_shape,twig_trichome_shape.1.shape
bract_hair_venation,bract_hair_venation.1.venation
bract_hair_venation,bract_hair_venation.2.venation
bract_margin_venation,bract_margin_venation.1.venation
bract_venation,bract_venation.1.venation
bract_venation,bract_venation.2.venation
bract_venation,bract_venation.3.venation
bract_venation,bract_venation.4.venation
branch_axil_venation,branch_axil_venation.1.venation
branch_venation,branch_venation.1.venation
branch_venation,branch_venation.2.venation
branch_venation,branch_venation.3.venation
branch_venation,branch_venation.4.venation
branch_venation,branch_venation.5.venation
bud_scales_venation,bud_scales_venation.1.venation
bud_venation,bud_venation.1.venation
bud_venation,bud_venation.2.venation
dehiscent_venation,dehiscent_venation.1.venation
epidermis_venation,epidermis_venation.1.venation
fruit_count,fruit_count.1.venation
fruit_venation,fruit_venation.1.venation
indumentum_venation,indumentum_venation.1.venation
inflorescence_leaf_axil_venation,inflorescence_leaf_axil_venation.1.venation
infructescence_venation,infructescence_venation.1.venation
keel_venation,keel_venation.1.venation
leaf_apex_venation,leaf_apex_venation.1.venation
leaf_axil_venation,leaf_axil_venation.1.venation
leaf_axil_venation,leaf_axil_venation.2.venation
leaf_base_venation,leaf_base_venation.1.venation
leaf_gland_venation,leaf_gland_venation.1.venation
leaf_hair_venation,leaf_hair_venation.1.venation
leaf_hair_venation,leaf_hair_venation.2.venation
leaf_lobe_venation,leaf_lobe_venation.1.venation
leaf_margin_venation,leaf_margin_venation.1.venation
leaf_scales_venation,leaf_scales_venation.1.venation
leaf_sinus_venation,leaf_sinus_venation.1.venation
leaf_tooth_venation,leaf_tooth_venation.1.venation
leaf_trichome_venation,leaf_trichome_venation.1.venation
leaf_trichome_venation,leaf_trichome_venation.2.venation
leaf_venation,leaf_venation.1.venation
leaf_venation,leaf_venation.2.venation
leaf_venation,leaf_venation.3.venation
leaf_venation,leaf_venation.4.venation
leaf_venation,leaf_venation.5.venation
leaf_venation,leaf_venation.6.venation
leaf_venation,leaf_venation.7.venation
leaflet_axil_venation,leaflet_axil_venation.1.venation
leaflet_hair_venation,leaflet_hair_venation.1.venation
leaflet_hair_venation,leaflet_hair_venation.2.venation
leaflet_scales_venation,leaflet_scales_venation.1.venation
leaflet_scales_venation,leaflet_scales_venation.2.venation
leaflet_venation,leaflet_venation.1.venation
nut_apex_venation,nut_apex_venation.1.venation
nut_margin_venation,nut_margin_venation.1.venation
nut_venation,nut_venation.1.venation
nutlet_gland_venation,nutlet_gland_venation.1.venation
nutlet_venation,nutlet_venation.1.venation
nutlet_venation,nutlet_venation.2.venation
nutlet_venation,nutlet_venation.3.venation
nutlet_venation,nutlet_venation.4.venation
petiole_axil_venation,petiole_axil_venation.1.venation
petiole_hair_venation,petiole_hair_venation.1.venation
petiole_trichome_venation,petiole_trichome_venation.1.venation
petiole_venation,petiole_venation.1.venation
petiole_venation,petiole_venation.2.venation
petiole_venation,petiole_venation.3.venation
petiole_venation,petiole_venation.4.venation
petiole_venation,petiole_venation.5.venation
petiole_venation,petiole_venation.6.venation
sheath_venation,sheath_venation.1.venation
stalk_venation,stalk_venation.1.venation
stalk_venation,stalk_venation.2.venation
stipe_venation,stipe_venation.1.venation
stipe_venation,stipe_venation.2.venation
stipe_venation,stipe_venation.3.venation
tree_venation,tree_venation.1.venation
tree_venation,tree_venation.2.venation
tree_venation,tree_venation.3.venation
tree_venation,tree_venation.4.venation
anther_apex_surface,anther_apex_surface.1.surface
anther_apex_surface,anther_apex_surface.2.surface
anther_hair_surface,anther_hair_surface.1.surface
anther_surface,anther_surface.1.surface
anther_surface,anther_surface.2.surface
bark_scales_surface,bark_scales_surface.1.surface
bark_surface,bark_surface.1.surface
bract_apex_surface,bract_apex_surface.1.surface
bract_base_surface,bract_base_surface.1.surface
bract_ciliolate_surface,bract_ciliolate_surface.1.surface
bract_gland_surface,bract_gland_surface.1.surface
bract_hair_surface,bract_hair_surface.1.surface
bract_margin_surface,bract_margin_surface.1.surface
bract_surface,bract_surface.1.surface
bract_surface,bract_surface.2.surface
bract_surface,bract_surface.3.surface
bract_surface,bract_surface.4.surface
bract_surface_staminate,bract_surface_staminate.1.surface
bract_trichome_surface,bract_trichome_surface.1.surface
bract_wing_surface,bract_wing_surface.1.surface
branch_axil_surface,branch_axil_surface.1.surface
branch_bud_scales_surface,branch_bud_scales_surface.1.surface
branch_bud_surface,branch_bud_surface.1.surface
